account_id,meter_id,site_name,billing_period_start,billing_period_end,usage_kwh,demand_kw,tariff_code,supplier,invoice_number,cost_gbp
ACC-1001,MTR-A001,Munich HQ,01/01/2024,31/01/2024,12450.50,85.2,HV-INDUSTRIAL,E.ON UK,INV-2024-001,2856.32
ACC-1001,MTR-A001,Munich HQ,01/02/2024,29/02/2024,11200.00,82.1,HV-INDUSTRIAL,E.ON UK,INV-2024-002,2568.40
ACC-1001,MTR-A001,Munich HQ,15/01/2024,15/02/2024,13100.75,88.0,HV-INDUSTRIAL,E.ON UK,INV-2024-001,2856.32
ACC-1002,MTR-B002,Hamburg Warehouse,01/01/2024,31/01/2024,8320.00,61.5,LV-SME,Vattenfall,INV-HAM-001,1789.60
ACC-1002,MTR-B002,Hamburg Warehouse,01/02/2024,29/02/2024,,61.0,LV-SME,Vattenfall,INV-HAM-002,1654.20
ACC-1003,MTR-C003,Berlin Office,2024-01-01,2024-01-31,3200.50,28.4,LV-SME,Berlin Energie,INV-BER-001,698.43
ACC-1003,MTR-C003,Berlin Office,2024-02-01,2024-02-29,2980.00,26.1,LV-SME,Berlin Energie,INV-BER-002,650.64
ACC-1003,MTR-C003,Berlin Office,2024-02-01,2024-02-29,2980.00,26.1,LV-SME,Berlin Energie,INV-BER-002,650.64
ACC-1004,MTR-D004,Munich Factory,01/01/2024,31/01/2024,95000.00,620.0,HV-INDUSTRIAL,E.ON UK,INV-MUC-F-001,21280.00
ACC-1004,MTR-D004,Munich Factory,01/02/2024,29/02/2024,48200.00,580.3,HV-INDUSTRIAL,E.ON UK,INV-MUC-F-002,10788.80
ACC-1005,MTR-E005,Hamburg Office,01/01/2024,31/03/2024,6100.00,42.0,LV-SME,Vattenfall,INV-HAM-OFF-Q1,1342.00
ACC-1001,MTR-A001,Munich HQ,01/03/2024,31/03/2024,-500.00,0.0,HV-INDUSTRIAL,E.ON UK,INV-2024-CREDIT,0.00
